id,fecha,hora,perturbacion_idx,perturbacion,motivo_cierre,ciclos,energia_restante,clusters,senales,tensiones,neuronas_totales,cluster_top_label,cluster_top_C,cluster_top_R,tension_1,tension_2,tension_3,notas
27,2026-03-11,07:24:07,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,82.0,7,19,3,19,Exploración de la emergencia de conscien,0.63,0.0,Exploración de la emergen vs Consciencia en red: ¿emer,¿Puede emerger conscienci vs Exploración de la emergen,¿Puede emerger conscienci vs Consciencia en red: ¿emer,
28,2026-03-11,07:24:37,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.1,9,19,3,19,La emergencia requiere interconexión y e,0.63,0.0,La emergencia requiere in vs Emergencia de consciencia,¿Puede emerger conscienci vs La emergencia requiere in,¿Puede emerger conscienci vs Emergencia de consciencia,
29,2026-03-11,07:25:00,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.4,8,19,3,19,La consciencia en agentes requiere autoc,0.9,0.0,La consciencia en agentes vs La emergencia de conscien,¿Puede emerger conscienci vs La emergencia de conscien,¿Puede emerger conscienci vs La consciencia en agentes,
30,2026-03-11,07:25:32,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,80.6,10,20,3,19,La emergencia requiere interacción y com,0.68,0.0,La emergencia requiere in vs La emergencia de conscien,¿Puede emerger conscienci vs La emergencia requiere in,¿Puede emerger conscienci vs La emergencia de conscien,
31,2026-03-11,07:31:30,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.1,9,19,3,19,Explorar la emergencia de conciencia en ,0.7,0.0,Explorando la emergencia  vs Explorar la emergencia de,¿Puede emerger conscienci vs Explorando la emergencia ,¿Puede emerger conscienci vs Explorar la emergencia de,
32,2026-03-11,07:32:51,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,15,78.2,10,19,2,23,La suma de partes no explica la cualia n,0.9,0.0,Emergencia de consciencia vs La suma de partes no expl,¿Puede emerger conscienci vs La suma de partes no expl,,
33,2026-03-11,07:33:42,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,13,81.8,8,19,3,21,Explorar la emergencia de consciencia en,0.9,0.0,Explorar la emergencia de vs La emergencia de conscien,¿Puede emerger conscienci vs La emergencia de conscien,¿Puede emerger conscienci vs Explorar la emergencia de,
34,2026-03-11,07:34:23,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.1,9,19,3,19,Explorando el umbral de emergencia de co,0.63,0.0,Explorando el umbral de e vs La emergencia de concienc,¿Puede emerger conscienci vs Explorando el umbral de e,¿Puede emerger conscienci vs La emergencia de concienc,
35,2026-03-11,07:35:48,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.1,9,19,3,19,La emergencia de consciencia desde la in,0.63,0.0,La emergencia de conscien vs Explorar la emergencia de,¿Puede emerger conscienci vs La emergencia de conscien,¿Puede emerger conscienci vs Explorar la emergencia de,
36,2026-03-11,07:38:00,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,13,80.8,9,19,3,21,Consciencia: ¿emergencia de lo no intenc,0.74,0.0,Explorando la emergencia  vs Consciencia: ¿emergencia ,¿Puede emerger conscienci vs Explorando la emergencia ,¿Puede emerger conscienci vs Consciencia: ¿emergencia ,
37,2026-03-11,07:40:54,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.1,9,19,3,19,Explorando la emergentidad de la conscie,0.57,0.0,Explorando la emergentida vs La emergencia de conscien,¿Puede emerger conscienci vs Explorando la emergentida,¿Puede emerger conscienci vs La emergencia de conscien,
38,2026-03-11,07:53:12,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,18,73.0,12,17,0,27,La emergencia de consciencia es una preg,0.63,0.0,,,,
39,2026-03-11,07:56:16,0,¿Puede emerger consciencia en una red de agentes mínimos?,límite de ciclos alcanzado,30,58.5,6,16,2,45,Exploración activa de emergencias en sis,0.5,0.29,Exploración activa de eme vs La emergencia de conscien,La emergencia de la consc vs La emergencia de conscien,,
40,2026-03-11,08:00:33,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,18,75.0,6,18,0,27,La identidad individual se diluye en la ,0.63,0.0,,,,
41,2026-03-11,08:01:19,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,15,79.0,6,19,6,25,La fusión colectiva es una reconfiguraci,0.75,0.0,¿Qué es la identidad cuan vs La fusión colectiva es un,La identidad individual s vs La fusión colectiva es un,¿Qué es la identidad cuan vs La identidad individual s,
42,2026-03-11,08:02:26,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,sin densificación reciente + tensiones resueltas,28,60.0,6,18,2,42,La tensión reside en la dialéctica indiv,0.37,0.0,La tensión reside en la d vs La colectividad como espe,La colectividad revela y  vs La colectividad como espe,,
43,2026-03-11,19:41:27,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,20,68.4,7,18,1,30,¿Qué es la identidad cuando el colectivo reemplaza,0.8,0.0,¿Qué es la identidad cuan vs La uniformidad establece ,,,
44,2026-03-11,19:42:50,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,56.8,6,17,3,44,[S] Yo-Noso: Integración Evolutiva,0.55,0.0,[S] Yo-Noso: Integración  vs El 'yo' es un componente ,[S] Yo-Noso: Integración  vs La integración del 'noso',El 'yo' es un componente  vs La integración del 'noso',
45,2026-03-11,19:54:33,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,59.0,5,17,2,44,La consciencia colectiva como crisol del,0.9,0.0,La consciencia colectiva  vs La resistencia del yo ant,La consciencia colectiva  vs [S] Forja Yo Colectivo vs,,
46,2026-03-11,20:23:50,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,59.0,6,17,2,44,[S] Dilución vs. Enriquecimiento en Grupo,0.64,0.17,[S] Dilución vs. Enriquec vs Reactivar el debate: ¿Enr,[S] Dilución vs. Enriquec vs [S] Reconfiguración Ident,,
47,2026-03-12,06:27:53,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,56.6,6,21,1,44,[S] Yo reconfigurado: Conciencia en la interconexi,0.55,0.25,conciencia como resultado vs [S] Yo reconfigurado: Con,,,
48,2026-03-12,06:51:23,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,El 'yo' diluido en el 'nosotros' colecti,0.9,0.17,El 'yo' diluido en el 'no vs La identidad individual s,¿Qué es la identidad cuan vs La identidad individual s,¿Qué es la identidad cuan vs El 'yo' diluido en el 'no,
49,2026-03-12,07:02:38,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,54.2,8,29,8,43,El colectivo como crisol de la individua,0.57,0.31,El colectivo como crisol  vs [S] Reciprocidad: El Indi,El colectivo como crisol  vs [S] Individuo-Colectivo: ,El colectivo como crisol  vs El crisol es el espacio d,
50,2026-03-12,07:33:11,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,36.0,11,47,14,45,Disolución colectiva y disenso germinal,0.78,0.33,[S] Identidad: Colectivid vs Disolución colectiva y di,Disolución colectiva y di vs [S] Individuo-Colectivo: ,[S] Identidad: Colectivid vs [S] Individuo-Colectivo: ,
51,2026-03-12,07:53:09,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,17,70.9,7,22,3,27,[S] Identidad: Tensión entre Yo y Nosotros,0.53,0.0,Explorar la fusión de lo  vs [S] Identidad: Tensión en,¿Qué es la identidad cuan vs Explorar la fusión de lo ,¿Qué es la identidad cuan vs [S] Identidad: Tensión en,
52,2026-03-12,07:54:43,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,45,29.2,10,26,8,64,[S] Unicidad intrínseca vs. rebelión activa,0.53,0.11,[S] Unicidad intrínseca v vs Rebelión como respuesta a,[S] Agencia Unica vs. Dis vs [S] Unicidad intrínseca v,Unicidad individual vs. c vs [S] Unicidad intrínseca v,
53,2026-03-12,17:51:43,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,límite de ciclos alcanzado,30,55.8,6,20,0,44,"[S] El olvido, un filtro activo",0.25,1.0,,,,
54,2026-03-12,17:53:37,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,límite de ciclos alcanzado,30,56.2,8,23,6,43,"El olvido es un proceso constructivo, no",0.63,0.33,"[S] Olvido: Selección Act vs Olvido: gestión activa, n",¿Qué se pierde y qué se g vs [S] Olvido: Selección Act,"Olvido: gestión activa, n vs El olvido es un proceso c",
55,2026-03-12,17:55:15,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,límite de ciclos alcanzado,30,43.1,9,33,5,44,"El olvido como filtro, la memoria como c",0.74,0.33,"El olvido como filtro, la vs [S] Selectividad vs. Arqu","El olvido como filtro, la vs El olvido no es pasividad",[S] Selectividad vs. Arqu vs El olvido no es pasividad,
56,2026-03-12,18:01:03,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,El dilema de la retención vs. la liberac,0.5,0.14,"El dilema de la retención vs La pérdida es olvido, la ",¿Qué se pierde y qué se g vs El dilema de la retención,"¿Qué se pierde y qué se g vs La pérdida es olvido, la ",
57,2026-03-12,18:06:39,4,¿Puede emerger propósito en un sistema sin intención original?,límite de ciclos alcanzado,30,54.0,10,44,12,45,[S] Intención y Caos: Danza Creadora Expansiva,0.4,0.0,[S] Intención vs. Potenci vs El caos inicial moldea la,[S] Intención vs. Potenci vs [S] Intención-Caos: Danza,[S] Intención vs. Potenci vs La ausencia de intención ,
58,2026-03-12,19:57:52,4,¿Puede emerger propósito en un sistema sin intención original?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,La emergencia de propósito sin intención,0.63,0.14,La emergencia de propósit vs La paradoja de la auto-or,¿Puede emerger propósito  vs La emergencia de propósit,¿Puede emerger propósito  vs La paradoja de la auto-or,
59,2026-03-12,20:03:48,4,¿Puede emerger propósito en un sistema sin intención original?,límite de ciclos alcanzado,30,55.6,5,24,3,45,profundizar la disonancia res vs resulta,0.59,0.3,profundizar la disonancia vs [S] Causalidad Dinámica v,Explorando agente causal  vs profundizar la disonancia,Explorando agente causal  vs [S] Causalidad Dinámica v,
60,2026-03-12,20:06:12,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,La pérdida de información vs. la optimiz,0.63,0.14,"La pérdida de información vs El olvido como filtro, no",¿Qué se pierde y qué se g vs La pérdida de información,"¿Qué se pierde y qué se g vs El olvido como filtro, no",
61,2026-03-12,20:46:27,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,baja novedad + tensiones resueltas,20,72.0,6,24,1,32,¿Qué se pierde y qué se gana cuando un sistema olv,0.55,0.58,¿Qué se pierde y qué se g vs El olvido como poda activ,,,
62,2026-03-12,20:47:02,2,¿Qué se pierde y qué se gana cuando un sistema olvida?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,La paradoja entre la pérdida y la gananc,0.63,0.14,La paradoja entre la pérd vs La tensión reside en la d,¿Qué se pierde y qué se g vs La paradoja entre la pérd,¿Qué se pierde y qué se g vs La tensión reside en la d,
63,2026-03-12,20:48:16,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,47.3,11,60,15,43,"Yo como nodo, interconexión como red.",0.47,0.46,"La red amplifica la esenc vs Yo como nodo, interconexi","El Yo es un nodo en la re vs Yo como nodo, interconexi",El Yo es un nodo en la re vs La red amplifica la esenc,
64,2026-03-12,20:49:19,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,46.0,8,30,1,45,Identidad fluida vs. anclajes colectivos,0.62,0.3,Disolución del yo: ¿conci vs [S] Yo Colectivo: Integra,,,
65,2026-03-12,20:50:17,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,30,42.3,10,34,15,44,Yo singular -> nutrición colectiva via e,0.73,0.5,[S] Tensión Yo-Colectivo: vs Unidad sentida emerge de ,[S] Tensión Yo-Colectivo: vs Yo singular -> nutrición ,Exploro las grietas del ' vs Unidad sentida emerge de ,
66,2026-03-12,21:45:20,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.0,6,23,3,19,Explorando la emergencia de consciencia ,0.56,0.12,Explorando la emergencia  vs La emergencia de conscien,¿Puede emerger conscienci vs Explorando la emergencia ,¿Puede emerger conscienci vs La emergencia de conscien,
67,2026-03-12,21:48:00,0,¿Puede emerger consciencia en una red de agentes mínimos?,sin densificación reciente + tensiones resueltas,27,59.0,7,21,1,40,La consciencia surge de la complejidad i,0.49,0.4,La emergencia de conscien vs La consciencia surge de l,,,
68,2026-03-12,21:48:37,0,¿Puede emerger consciencia en una red de agentes mínimos?,baja novedad + tensiones resueltas,12,83.0,4,22,3,20,Explorando la emergencia de consciencia ,0.9,0.17,Explorando la emergencia  vs Explorando la emergencia ,¿Puede emerger conscienci vs Explorando la emergencia ,¿Puede emerger conscienci vs Explorando la emergencia ,
69,2026-03-12,21:49:50,3,¿Cuándo la cooperación se convierte en conflicto y viceversa?,límite de ciclos alcanzado,30,46.0,12,55,15,45,[S] Tensión Escasez: Ingenio vs. Parálisis,0.6,0.0,"Escasez => ingenio, optim vs [S] Escasez: Dilema de la","Escasez => ingenio, optim vs La falta estimula la crea","Escasez => ingenio, optim vs Escasez como motor creati",
70,2026-03-12,21:50:54,3,¿Cuándo la cooperación se convierte en conflicto y viceversa?,límite de ciclos alcanzado,30,35.1,5,23,7,46,[S] Coopencia: Tensión y Sinergia,0.55,0.0,La línea es fina entre co vs [S] Estrategia: Competenc,La línea es fina entre co vs [S] Coopencia: Tensión y ,"La línea es fina entre co vs Competencia como motor, n",
71,2026-03-12,21:51:59,3,¿Cuándo la cooperación se convierte en conflicto y viceversa?,sin densificación reciente + tensiones resueltas,25,58.3,7,31,9,39,El umbral crítico de recursos y poder de,0.4,0.5,"El umbral crítico de recu vs Intereses divergentes, re",El umbral crítico de recu vs [S] Ambición sobre la esc,El umbral crítico de recu vs Escasez -> Supervivencia ,
72,2026-03-12,21:52:37,5,¿En qué se diferencia la inteligencia distribuida de la inteligencia individual?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,"Distribuida implica múltiples nodos, no ",0.63,0.14,Distribuida implica múlti vs Inteligencia distribuida ,¿En qué se diferencia la  vs Distribuida implica múlti,¿En qué se diferencia la  vs Inteligencia distribuida ,
73,2026-03-12,21:53:32,5,¿En qué se diferencia la inteligencia distribuida de la inteligencia individual?,baja novedad + sin densificación reciente + tensiones resueltas,29,53.8,6,21,3,41,[S] Emergencia vs. Diseño,0.7,0.2,[S] Emergencia vs. Diseño vs [S] Diseño vs. Emergencia,La multifacética IA se di vs [S] Diseño vs. Emergencia,[S] Emergencia vs. Diseño vs La multifacética IA se di,
74,2026-03-12,21:54:43,5,¿En qué se diferencia la inteligencia distribuida de la inteligencia individual?,límite de ciclos alcanzado,30,35.5,9,51,15,46,Orden y Caos: La dialéctica que genera p,0.49,0.18,[S] Inteligencia emergent vs Orden y Caos: La dialécti,[S] Orden y Caos Intelige vs Orden y Caos: La dialécti,Rigidez vs. Adaptación: ¿ vs La rigidez centralizada i,
75,2026-03-13,17:48:40,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + sin densificación reciente,19,71.0,5,19,4,30,"La masa como catalizador de la unicidad,",0.5,0.25,"La base es la unicidad, l vs La masa como catalizador ",[S] Sinergia Individual-C vs La masa como catalizador ,"La base es la unicidad, l vs [S] Sinergia Individual-C",cy=13:[S] Sinergia Individual-Colectiva,
76,2026-03-13,17:49:31,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,sin densificación reciente + tensiones resueltas,26,58.7,7,21,7,39,[S] Renacimiento Colectivo y la Identidad,0.5,0.0,[S] Renacimiento Colectiv vs [S] Persistencia Identita,La identidad individual s vs [S] Renacimiento Colectiv,[S] Renacimiento Colectiv vs [S] Evolución Identitaria,cy=13:[S] Renacimiento Colectivo y la Identida | cy=19:[S] Evolución Identitaria vs. Colectivo  | cy=25:[S] Persistencia Identitaria en el Flujo,
77,2026-03-13,17:49:59,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,13,81.0,5,27,1,21,[S] Identidad en la Tensión Colectiva,0.51,0.33,¿Qué es la identidad cuan vs [S] Identidad en la Tensi,,,cy=08:[S] Identidad en la Tensión Colectiva | cy=13:[S] Identidad: Anulación vs. Expansión,
78,2026-03-13,17:54:32,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,La pregunta misma niega la identidad ind,0.63,0.14,La pregunta misma niega l vs Explorando el vacío que d,¿Qué es la identidad cuan vs La pregunta misma niega l,¿Qué es la identidad cuan vs Explorando el vacío que d,,
79,2026-03-13,17:55:04,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,17,75.0,7,29,3,27,Exploro la disolución del yo en el nosot,0.71,0.38,Exploro la disolución del vs La pérdida del yo individ,¿Qué es la identidad cuan vs La pérdida del yo individ,¿Qué es la identidad cuan vs Exploro la disolución del,cy=16:[S] Yo: Integración Reconfiguradora,
80,2026-03-13,17:55:26,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,baja novedad + tensiones resueltas,12,83.5,6,22,3,19,La primacía del colectivo disuelve la au,0.9,0.17,La primacía del colectivo vs La identidad se diluye en,¿Qué es la identidad cuan vs La identidad se diluye en,¿Qué es la identidad cuan vs La primacía del colectivo,,
81,2026-03-13,17:57:02,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,límite de ciclos alcanzado,45,32.0,9,30,3,64,"La germinación es devenir, no ser estáti",0.63,0.33,La germinación es devenir vs [S] Esencia fluida en dev,Germinación: vida en fluj vs La germinación es devenir,Germinación: vida en fluj vs [S] Esencia fluida en dev,cy=32:[S] Fluidez Consciente vs. Esencia Adapt | cy=38:[S] Fluidez: Proceso y Consecuencia | cy=44:[S] Esencia fluida en devenir adaptativo,
